epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.0264,1.52737,7.06066,0.55827,1.41002,1.54736,0.94621,0.97229,0.98761,0.57523,0.7139,0.73367,0.54822,0.1124,1.32194,3.68134,0.05,0.77665,1.33246,0.000654762,0.000654762,0.000654762
2,25.8256,1.29503,3.54226,0.31736,0.83449,1.32754,0.9327,0.9397,0.91603,0.33647,0.92678,0.93467,0.90832,0.36054,2.18851,2.5877,0.03053,1.66474,2.18582,0.00127782,0.00127782,0.00127782
3,31.6398,1.20844,3.08102,0.29369,0.78242,1.26699,0.99479,1,0.995,0.5299,0.9248,0.92965,0.8726,0.30077,1.65127,2.75855,0.02356,0.90185,1.49465,0.00185688,0.00185688,0.00185688
4,37.4352,1.24641,2.90658,0.25998,0.80364,1.29333,0.92106,0.92462,0.97735,0.71884,0.92106,0.92462,0.97735,0.55461,0.89047,1.73605,0.02713,1.96542,0.98478,0.001802,0.001802,0.001802
5,43.2413,1.19617,2.67132,0.24367,0.77587,1.26867,1,0.99953,0.995,0.75127,1,0.99953,0.995,0.63406,0.94105,1.35244,0.01918,0.59398,1.01801,0.001736,0.001736,0.001736
6,49.075,1.17055,2.47296,0.22922,0.74205,1.2525,0.99812,1,0.995,0.54833,0.9931,0.99497,0.99289,0.70411,1.66694,1.12613,0.02063,0.62649,1.38277,0.00167,0.00167,0.00167
7,55.2867,1.14656,2.35073,0.21922,0.72543,1.22387,0.99885,1,0.995,0.79288,0.99885,1,0.995,0.77439,0.76392,0.88279,0.02918,0.45738,0.93525,0.001604,0.001604,0.001604
8,61.4946,1.12883,2.11928,0.20989,0.69105,1.21034,0.99776,1,0.995,0.72541,0.99776,1,0.995,0.77794,0.9536,0.8058,0.04862,0.48802,0.98909,0.001538,0.001538,0.001538
9,67.5319,1.09551,2.06948,0.19136,0.65954,1.18909,0.99897,1,0.995,0.60713,0.99897,1,0.995,0.7593,1.34424,0.93756,0.01868,0.4838,1.20202,0.001472,0.001472,0.001472
10,73.8238,1.09583,2.05594,0.18631,0.68259,1.20363,0.99959,1,0.995,0.57983,0.99959,1,0.995,0.88881,1.49452,0.55896,0.01549,0.51828,1.24103,0.001406,0.001406,0.001406
11,80.2109,1.07371,1.93865,0.18033,0.65343,1.18623,0.99963,1,0.995,0.68421,0.99963,1,0.995,0.86262,1.08711,0.5875,0.02219,0.48215,1.03255,0.00134,0.00134,0.00134
12,86.8405,1.04031,1.83701,0.17606,0.64018,1.16685,0.99956,1,0.995,0.84332,0.99956,1,0.995,0.87231,0.58387,0.54497,0.02057,0.32569,0.87294,0.001274,0.001274,0.001274
13,92.9447,0.98651,1.65895,0.16519,0.59972,1.13834,0.99953,1,0.995,0.77846,0.99953,1,0.995,0.83303,0.83429,0.65244,0.01816,0.38642,0.97162,0.001208,0.001208,0.001208
14,98.97,0.99473,1.69038,0.16422,0.5968,1.13342,0.99947,1,0.995,0.78728,0.99947,1,0.995,0.89579,0.80909,0.45498,0.01213,0.37043,0.95007,0.001142,0.001142,0.001142
15,104.906,0.96173,1.59149,0.16534,0.59446,1.1267,0.99857,1,0.995,0.69733,0.99857,1,0.995,0.86369,1.10193,0.52754,0.01194,0.41369,1.05184,0.001076,0.001076,0.001076
16,110.767,0.95721,1.5168,0.15677,0.57805,1.12398,0.99959,1,0.995,0.78583,0.99959,1,0.995,0.90195,0.7828,0.4486,0.01311,0.36383,0.92183,0.00101,0.00101,0.00101
17,116.545,0.91116,1.47432,0.14969,0.55019,1.1078,0.99946,1,0.995,0.69303,0.99946,1,0.995,0.95021,1.1919,0.32452,0.01216,0.42034,1.07921,0.000944,0.000944,0.000944
18,122.402,0.9043,1.46646,0.14908,0.54293,1.09208,0.99968,1,0.995,0.85405,0.99968,1,0.995,0.92434,0.59895,0.37861,0.01316,0.30271,0.87069,0.000878,0.000878,0.000878
19,128.184,0.8817,1.27344,0.14174,0.53386,1.08727,0.99967,1,0.995,0.81667,0.99967,1,0.995,0.91932,0.75087,0.32944,0.01697,0.33513,0.89537,0.000812,0.000812,0.000812
20,134.352,0.87739,1.3087,0.1458,0.52464,1.08768,0.99963,1,0.995,0.86056,0.99963,1,0.995,0.92108,0.59688,0.37342,0.01576,0.30576,0.87539,0.000746,0.000746,0.000746
21,164.716,0.64027,0.28657,0.02496,0.31821,0.94812,0.99969,1,0.995,0.86993,0.99969,1,0.995,0.95769,0.55252,0.30416,0.00564,0.30997,0.8613,0.00068,0.00068,0.00068
22,170.483,0.62157,0.24202,0.01948,0.30247,0.93782,0.99969,1,0.995,0.86511,0.99969,1,0.995,0.98619,0.63704,0.22264,0.00545,0.29234,0.87396,0.000614,0.000614,0.000614
23,176.056,0.58167,0.19805,0.01764,0.28629,0.92538,0.99969,1,0.995,0.87629,0.99969,1,0.995,0.99407,0.54925,0.15186,0.00615,0.28172,0.8492,0.000548,0.000548,0.000548
24,181.491,0.58061,0.20485,0.01616,0.28014,0.91478,0.99969,1,0.995,0.85703,0.99969,1,0.995,0.98092,0.62318,0.19033,0.00463,0.27855,0.85985,0.000482,0.000482,0.000482
25,186.934,0.54511,0.17685,0.01522,0.26704,0.90754,0.9997,1,0.995,0.86215,0.9997,1,0.995,0.99495,0.65646,0.14696,0.00559,0.2874,0.87216,0.000416,0.000416,0.000416
26,192.268,0.51475,0.16556,0.0147,0.26094,0.89007,0.9997,1,0.995,0.87343,0.9997,1,0.995,0.99356,0.58524,0.14138,0.00267,0.29279,0.85243,0.00035,0.00035,0.00035
27,197.68,0.51103,0.14805,0.01384,0.25575,0.89383,0.9997,1,0.995,0.90415,0.9997,1,0.995,0.995,0.48397,0.119,0.00318,0.24268,0.83063,0.000284,0.000284,0.000284
28,203.2,0.49808,0.13806,0.01487,0.24884,0.88698,0.99971,1,0.995,0.90084,0.99971,1,0.995,0.9946,0.48919,0.11304,0.00396,0.24818,0.83218,0.000218,0.000218,0.000218
29,208.594,0.47594,0.11108,0.01146,0.23792,0.87379,0.9997,1,0.995,0.89307,0.9997,1,0.995,0.99497,0.49495,0.09953,0.00253,0.2394,0.82993,0.000152,0.000152,0.000152
30,214.005,0.45497,0.10926,0.01193,0.22571,0.87145,0.9997,1,0.995,0.93686,0.9997,1,0.995,0.995,0.37646,0.09931,0.00306,0.21441,0.80563,8.6e-05,8.6e-05,8.6e-05
