epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,22.9579,0.48041,0.76879,1.59757,0.90732,0,1,0.33263,0.99371,0.91034,1,0.33263,0.99371,0.98294,0.39772,0.24586,2.58257,0.82459,0,0.000654762,0.000654762,0.000654762
2,32.2709,0.47652,0.58849,0.8003,0.87837,0,0.45809,0.38693,0.37958,0.30632,0.45809,0.38693,0.38928,0.33277,0.7403,1.10152,2.5489,0.98744,0,0.00127782,0.00127782,0.00127782
3,41.5367,0.47372,0.52982,0.65072,0.87857,0,0.96968,0.98492,0.9912,0.90509,0.95817,0.97487,0.97624,0.80675,0.41214,1.44637,0.78079,0.82482,0,0.00185688,0.00185688,0.00185688
4,50.6348,0.46314,0.56073,0.55268,0.8809,0,0.76806,0.44724,0.53465,0.5034,0.76806,0.44724,0.50152,0.45616,0.75219,8.03244,1.91066,1.0251,0,0.001802,0.001802,0.001802
5,59.708,0.4325,0.51806,0.46188,0.8633,0,0.99803,1,0.995,0.93005,0.99803,1,0.995,0.98766,0.34647,0.27296,0.5276,0.80682,0,0.001736,0.001736,0.001736
6,68.7279,0.41471,0.49584,0.4268,0.86563,0,0.99946,1,0.995,0.95472,0.99946,1,0.995,0.99386,0.276,0.22145,0.30379,0.78418,0,0.00167,0.00167,0.00167
7,77.7314,0.40866,0.49322,0.39918,0.86446,0,0.96247,0.96482,0.98638,0.94752,0.9523,0.95477,0.97942,0.9586,0.27509,0.30452,0.34288,0.79741,0,0.001604,0.001604,0.001604
8,86.7641,0.39139,0.47554,0.38448,0.85602,0,0.99821,1,0.995,0.97082,0.99821,1,0.995,0.9914,0.26595,0.20967,0.26663,0.78131,0,0.001538,0.001538,0.001538
9,96.0205,0.37275,0.44309,0.36268,0.86073,0,0.99945,1,0.995,0.98625,0.99945,1,0.995,0.99335,0.22647,0.15967,0.27088,0.77572,0,0.001472,0.001472,0.001472
10,105.079,0.37108,0.45906,0.35184,0.85801,0,1,0.99428,0.995,0.99079,1,0.99428,0.995,0.98727,0.21381,0.23967,0.24365,0.77632,0,0.001406,0.001406,0.001406
11,114.122,0.3458,0.41171,0.33594,0.85104,0,0.99776,1,0.995,0.98738,0.99776,1,0.995,0.99355,0.21602,0.17178,0.22808,0.77215,0,0.00134,0.00134,0.00134
12,123.122,0.33147,0.40007,0.32038,0.84044,0,0.99871,1,0.995,0.99043,0.99871,1,0.995,0.99376,0.19232,0.15663,0.23217,0.77188,0,0.001274,0.001274,0.001274
13,132.179,0.31863,0.34851,0.2993,0.84494,0,0.99956,1,0.995,0.99338,0.99956,1,0.995,0.99326,0.18416,0.18345,0.17682,0.76873,0,0.001208,0.001208,0.001208
